# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 26 23:24:01 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
16,2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,,,,,1950.0000000000,200.0000000000,-200.0000000000,0,12.40000000,,,0,1.11000000,,,0,3686.80952120,413.17692910,-317.82840700,0,11.60000000,1.30000000,-1.00000000,0,10.600000,,,0,,,,
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,,,,,572.0000000000,7.0000000000,-7.0000000000,0,12.20000000,,,0,1.08000000,,,0,5720.91132600,317.82840700,-317.82840700,0,18.00000000,1.00000000,-1.00000000,0,17.300000,,,0,,,,
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,,,,,15.0000000000,,,0,12.60000000,,,0,1.13000000,,,0,2383.60000000,794.50000000,-794.50000000,0,7.50000000,2.50000000,-2.50000000,0,6.550000,,,0,,,,
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,,,,,266.0000000000,8.0000000000,-8.0000000000,0,11.90000000,,,0,1.06000000,,,0,8899.19539600,3178.28407000,-2224.79884900,0,28.00000000,10.00000000,-7.00000000,0,29.000000,,,0,,,,
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,,,,,587.0000000000,2.0000000000,-2.0000000000,0,12.10000000,,,0,1.08000000,,,0,6356.56814000,317.82840700,-317.82840700,0,20.00000000,1.00000000,-1.00000000,0,19.700000,,,0,,,,
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,,,,,55.0000000000,,,0,12.90000000,,,0,1.15000000,,,0,1589.15000000,635.66000000,-635.66000000,0,5.00000000,2.00000000,-2.00000000,0,4.070000,,,0,,,,
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,406.00000000000,4.00000000000,-4.00000000000,0,0.9200000000,0.0200000000,-0.0200000000,0,13.40000000,,,0,1.20000000,,,0,603.87700000,31.78300000,-31.78300000,0,1.90000000,0.10000000,-0.10000000,0,1.380000,,,0,0.330000,0.050000,-0.050000,0
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,,,,,7493.0000000000,11.0000000000,-11.0000000000,0,12.40000000,,,0,1.10000000,,,0,3813.94088400,317.82840700,-317.82840700,0,12.00000000,1.00000000,-1.00000000,0,11.000000,,,0,,,,
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,,,,,230.0000000000,20.0000000000,-20.0000000000,0,12.30000000,,,0,1.10000000,,,0,3972.87500000,476.74500000,-476.74500000,0,12.50000000,1.50000000,-1.50000000,0,11.700000,,,0,,,,
25,30 Ari B b,30 Ari B,4,1,Radial Velocity,335.10001000000,2.50000000000,-2.50000000000,0,0.9900000000,0.0200000000,-0.0200000000,0,12.30000000,,,0,1.10000000,,,0,4392.41060000,572.09400000,-572.09400000,0,13.82000000,1.80000000,-1.80000000,0,13.000000,,,0,0.290000,0.090000,-0.090000,0
26,4 UMa b,4 UMa,1,1,Radial Velocity,270.27000000000,0.24000000000,-0.09000000000,0,0.8770000000,0.0010000000,0.0000000000,0,12.60000000,,,0,1.12000000,,,0,2511.48007211,63.24785299,-120.13913785,0,7.90200000,0.19900000,-0.37800000,0,6.900000,,,0,0.453000,0.021000,-0.036000,0
27,47 UMa b,47 UMa,1,3,Radial Velocity,1078.00000000000,2.00000000000,-2.00000000000,0,2.1000000000,0.0200000000,-0.0200000000,0,13.20000000,,,0,1.18000000,,,0,804.08000000,22.25000000,-19.07000000,0,2.53000000,0.07000000,-0.06000000,0,1.920000,,,0,0.032000,0.014000,-0.014000,0
28,47 UMa c,47 UMa,1,3,Radial Velocity,2391.00000000000,100.00000000000,-87.00000000000,0,3.6000000000,0.1000000000,-0.1000000000,0,14.20000000,,,0,1.27000000,,,0,171.62100000,20.97600000,-23.20100000,0,0.54000000,0.06600000,-0.07300000,0,0.329000,,,0,0.098000,0.047000,-0.096000,0
29,47 UMa d,47 UMa,1,3,Radial Velocity,14002.00000000000,4018.00000000000,-5095.00000000000,0,11.6000000000,2.1000000000,-2.9000000000,0,13.50000000,,,0,1.20000000,,,0,521.22000000,92.17000000,-152.55000000,0,1.64000000,0.29000000,-0.48000000,0,1.160000,,,0,0.160000,0.090000,-0.160000,0
30,51 Eri b,51 Eri,3,1,Imaging,11688.00000000000,6209.25000000000,-3287.25000000000,0,13.2000000000,0.2000000000,-0.2000000000,0,13.40000000,,,0,1.19000000,,,0,635.66000000,,,0,2.00000000,,,0,1.450000,,,0,0.450000,0.100000,-0.150000,0
31,51 Peg b,51 Peg,1,1,Radial Velocity,4.23078500000,0.00003600000,-0.00003600000,0,0.0527000000,0.0030000000,-0.0030000000,0,14.30000000,,,0,1.27000000,,,0,146.20180000,19.06980000,-3.17830000,0,0.46000000,0.06000000,-0.01000000,0,0.275000,,,0,0.013000,0.012000,-0.012000,0
32,55 Cnc b,55 Cnc,2,5,Radial Velocity,14.65160000000,0.00010000000,-0.00010000000,0,0.1134000000,0.0006000000,-0.0006000000,0,13.90000000,,,0,1.24000000,,,0,263.97850000,1.04880000,-1.04880000,0,0.83060000,0.00330000,-0.00330000,0,0.540000,,,0,0.000000,0.010000,-0.010000,0
33,55 Cnc c,55 Cnc,2,5,Radial Velocity,44.39890000000,0.00420000000,-0.00430000000,0,0.2373000000,0.0013000000,-0.0013000000,0,8.51000000,,,0,0.76000000,,,0,54.47380000,1.74800000,-1.74800000,0,0.17140000,0.00550000,-0.00550000,0,0.486000,,,0,0.030000,0.020000,-0.020000,0
34,55 Cnc d,55 Cnc,2,5,Radial Velocity,5574.20000000000,93.80000000000,-88.60000000000,0,5.9570000000,0.0740000000,-0.0710000000,0,13.00000000,,,0,1.16000000,,,0,1232.49300000,21.61200000,-21.61200000,0,3.87800000,0.06800000,-0.06800000,0,3.080000,,,0,0.130000,0.020000,-0.020000,0
35,55 Cnc e,55 Cnc,2,5,Radial Velocity,0.73654740000,0.00000130000,-0.00000140000,0,0.0154400000,0.0000500000,-0.0000500000,0,1.87500000,0.02900000,-0.02900000,0,0.16727630,0.00258721,-0.00258721,0,7.99000000,0.32000000,-0.33000000,0,0.02513923,0.00100683,-0.00103829,0,6.660000,0.430000,-0.400000,0,0.050000,0.030000,-0.030000,0
36,55 Cnc f,55 Cnc,2,5,Radial Velocity,259.88000000000,0.29000000000,-0.29000000000,0,0.7708000000,0.0043000000,-0.0044000000,0,7.59000000,,,0,0.67700000,,,0,44.81200000,3.81400000,-3.81400000,0,0.14100000,0.01200000,-0.01200000,0,0.563000,,,0,0.080000,0.050000,-0.040000,0
37,6 Lyn b,6 Lyn,1,1,Radial Velocity,919.86000000000,1.92000000000,-3.71000000000,0,2.0280000000,0.0030000000,-0.0050000000,0,13.40000000,,,0,1.20000000,,,0,597.83523357,12.07747947,-28.28672822,0,1.88100000,0.03800000,-0.08900000,0,1.370000,,,0,0.042000,0.024000,-0.032000,0
38,61 Vir b,61 Vir,1,3,Radial Velocity,4.21500000000,0.00060000000,-0.00060000000,0,0.0502010000,0.0000050000,-0.0000050000,0,2.11000000,,,0,0.18800000,,,0,5.10000000,0.50000000,-0.50000000,0,0.01600000,0.00200000,-0.00200000,0,2.980000,,,0,0.120000,0.110000,-0.110000,0
39,61 Vir c,61 Vir,1,3,Radial Velocity,38.02100000000,0.03400000000,-0.03400000000,0,0.2175000000,0.0001000000,-0.0001000000,0,4.46000000,,,0,0.39800000,,,0,18.20000000,1.10000000,-1.10000000,0,0.05700000,0.00300000,-0.00300000,0,1.130000,,,0,0.140000,0.060000,-0.060000,0
40,61 Vir d,61 Vir,1,3,Radial Velocity,123.01000000000,0.55000000000,-0.55000000000,0,0.4760000000,0.0010000000,-0.0010000000,0,5.11000000,,,0,0.45600000,,,0,22.90000000,2.60000000,-2.60000000,0,0.07200000,0.00800000,-0.00800000,0,0.943000,,,0,0.350000,0.090000,-0.090000,0
41,7 CMa b,7 CMa,1,2,Radial Velocity,735.10000000000,14.80000000000,-1.00000000000,0,1.7580000000,0.0240000000,-0.0010000000,0,13.40000000,,,0,1.20000000,,,0,587.98550000,19.06980000,-19.06980000,0,1.85000000,0.06000000,-0.06000000,0,1.340000,,,0,0.060000,0.030000,-0.030000,0
42,7 CMa c,7 CMa,1,2,Radial Velocity,996.00000000000,1.50000000000,-52.40000000000,0,2.1530000000,0.0030000000,-0.0800000000,0,13.90000000,,,0,1.24000000,,,0,276.51210000,19.06980000,-19.06980000,0,0.87000000,0.06000000,-0.06000000,0,0.566000,,,0,0.080000,0.050000,-0.040000,0
43,70 Vir b,70 Vir,1,1,Radial Velocity,116.68800000000,0.00540000000,-0.00540000000,0,0.4810000000,0.0220000000,-0.0220000000,0,12.60000000,,,0,1.13000000,,,0,2380.45000000,193.87000000,-193.87000000,0,7.49000000,0.61000000,-0.61000000,0,6.540000,,,0,0.398800,0.001900,-0.001900,0
44,75 Cet b,75 Cet,2,2,Radial Velocity,696.62000000000,1.33000000000,-1.69000000000,0,1.9120000000,0.0020000000,-0.0030000000,0,13.30000000,,,0,1.18000000,,,0,787.89662095,23.51930212,-28.60455663,0,2.47900000,0.07400000,-0.09000000,0,1.840000,,,0,0.093000,0.026000,-0.042000,0
45,75 Cet c,75 Cet,2,2,Radial Velocity,2051.62000000000,45.98000000000,-40.47000000000,0,3.9290000000,0.0580000000,-0.0520000000,0,13.90000000,,,0,1.24000000,,,0,289.85950718,27.96889982,-45.44946220,0,0.91200000,0.08800000,-0.14300000,0,0.593000,,,0,0.023000,0.191000,-0.003000,0
46,8 UMi b,8 UMi,1,1,Radial Velocity,93.40000000000,4.50000000000,-4.50000000000,0,0.4900000000,0.0200000000,-0.0200000000,0,13.60000000,,,0,1.22000000,,,0,416.35730000,50.85280000,-50.85280000,0,1.31000000,0.16000000,-0.16000000,0,0.910000,,,0,0.060000,0.090000,-0.090000,0
47,81 Cet b,81 Cet,1,1,Radial Velocity,1005.57000000000,1.84000000000,-1.94000000000,0,2.1040000000,0.0030000000,-0.0030000000,0,13.10000000,,,0,1.17000000,,,0,1051.05854195,24.79061575,-21.29450327,0,3.30700000,0.07800000,-0.06700000,0,2.570000,,,0,0.037000,0.015000,-0.025000,0
48,91 Aqr b,91 Aqr,3,1,Radial Velocity,181.40000000000,0.10000000000,-0.10000000000,0,0.7000000000,,,0,13.10000000,,,0,1.17000000,,,0,1017.00000000,,,0,3.20000000,,,0,2.490000,,,0,0.027000,0.026000,-0.026000,0
49,AB Aur b,AB Aur,1,1,Imaging,,,,,93.9000000000,49.3000000000,-49.3000000000,0,12.50000000,,,0,1.12000000,,,0,2860.45566300,,,0,9.00000000,,,0,8.050000,,,0,0.400000,0.200000,-0.210000,0
50,AB Pic b,AB Pic,1,1,Imaging,,,,,260.0000000000,,,0,12.30000000,,,0,1.10000000,,,0,4290.50000000,158.90000000,-158.90000000,0,13.50000000,0.50000000,-0.50000000,0,12.700000,,,0,,,,
51,AF Lep b,AF Lep,1,1,Imaging,8030.00000000000,1800.00000000000,-1800.00000000000,0,8.4000000000,1.1000000000,-1.3000000000,0,13.10000000,,,0,1.17000000,,,0,1017.05090240,222.47988490,-190.69704420,0,3.20000000,0.70000000,-0.60000000,0,2.490000,,,0,0.240000,0.270000,-0.150000,0
52,AT2021ueyL b,AT2021ueyL,1,1,Microlensing,4168.69000000000,2910.76000000000,-1713.98000000000,0,4.0100000000,1.6800000000,-1.3400000000,0,13.60000000,,,0,1.22000000,,,0,425.89006538,143.02278315,-158.91420350,0,1.34000000,0.45000000,-0.50000000,0,0.930000,,,0,,,,
53,AU Mic b,AU Mic,1,3,Transit,8.46308000000,0.00006000000,-0.00006000000,0,0.0649000000,0.0012000000,-0.0012000000,0,3.95677019,0.14571675,-0.14571675,0,0.35300000,0.01300000,-0.01300000,0,20.12000000,1.57000000,-1.72000000,0,0.06330460,0.00493977,-0.00541173,0,1.320000,0.190000,-0.200000,0,0.005770,0.001010,-0.001010,0
54,AU Mic c,AU Mic,1,3,Transit,18.85969000000,0.00008000000,-0.00008000000,0,0.1108000000,0.0020000000,-0.0020000000,0,2.52202066,0.24659758,-0.24659758,0,0.22500000,0.02200000,-0.02200000,0,9.60000000,2.07000000,-2.31000000,0,0.03020498,0.00651295,-0.00726807,0,1.220000,0.260000,-0.290000,0,0.003380,0.001640,-0.001640,0
55,AU Mic d,AU Mic,1,3,Transit Timing Variations,12.73596000000,0.00793000000,-0.00793000000,0,,,,,1.02000000,,,0,0.09120000,,,0,1.05300000,0.51100000,-0.51100000,0,0.00331000,0.00161000,-0.00161000,0,5.450000,,,0,0.003050,0.001040,-0.001040,0
56,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,481.90000000000,2.70000000000,-2.80000000000,0,1.3000000000,0.1000000000,-0.1000000000,0,12.70000000,,,0,1.13000000,,,0,2034.11200000,413.17900000,-413.17900000,0,6.40000000,1.30000000,-1.30000000,0,5.460000,,,0,0.200000,0.120000,-0.080000,0
57,BD+05 4868 A b,BD+05 4868 A,2,1,Transit,1.27186900000,0.00000100000,-0.00000100000,0,0.0208000000,0.0003000000,-0.0003000000,0,,,,,,,,,6.20000000,,,1,0.01950738,,,1,,,,,,,,
58,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,268.94000000000,0.99000000000,-0.99000000000,0,0.7800000000,0.0500000000,-0.0500000000,0,13.80000000,,,0,1.23000000,,,0,330.54320000,149.38010000,-149.38010000,0,1.04000000,0.47000000,-0.47000000,0,0.691000,,,0,0.290000,0.030000,-0.030000,0
59,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,153.22000000000,0.44000000000,-0.44000000000,0,0.5760000000,0.0270000000,-0.0270000000,0,13.80000000,,,0,1.23000000,,,0,337.21763000,85.81410000,-85.81410000,0,1.06100000,0.27000000,-0.27000000,0,0.705000,,,0,0.001000,0.250000,-0.001000,0
60,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,137.48000000000,0.34000000000,-0.34000000000,0,0.5390000000,,,0,13.70000000,,,0,1.23000000,,,0,352.78000000,,,0,1.11000000,,,0,0.754000,,,0,0.260000,0.100000,-0.100000,0
61,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,379.63000000000,2.01000000000,-2.01000000000,0,1.4500000000,,,0,12.10000000,,,0,1.08000000,,,0,6807.63000000,,,0,21.42000000,,,0,21.100000,,,0,0.150000,0.030000,-0.030000,0
62,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,621.99000000000,10.20000000000,-10.20000000000,0,2.0100000000,,,0,12.40000000,,,0,1.10000000,,,0,3963.17000000,,,0,12.47000000,,,0,11.400000,,,0,0.180000,0.060000,-0.060000,0
63,BD+20 274 b,BD+20 274,1,1,Radial Velocity,578.20000000000,5.40000000000,-5.40000000000,0,1.3000000000,,,0,13.00000000,,,0,1.16000000,,,0,1334.88600000,,,0,4.20000000,,,0,3.340000,,,0,0.210000,0.060000,-0.060000,0
64,BD+20 594 b,BD+20 594,1,1,Transit,41.68550000000,0.00300000000,-0.00300000000,0,0.2410000000,0.0190000000,-0.0170000000,0,2.57807000,0.11209000,-0.11209000,0,0.23000000,0.01000000,-0.01000000,0,22.24810000,9.53490000,-9.53490000,0,0.07000000,0.03000000,-0.03000000,0,7.890000,3.400000,-3.100000,0,0.000000,,,0
65,BD+45 564 b,BD+45 564,1,1,Radial Velocity,307.88000000000,1.47000000000,-1.47000000000,0,0.8300000000,0.0400000000,-0.0400000000,0,13.60000000,,,0,1.21000000,,,0,432.24663352,38.13940884,-38.13940884,0,1.36000000,0.12000000,-0.12000000,0,0.944000,,,0,0.120000,0.060000,-0.060000,0
66,BD+48 738 b,BD+48 738,1,1,Radial Velocity,392.60000000000,5.50000000000,-5.50000000000,0,1.0000000000,,,0,13.90000000,,,0,1.24000000,,,0,289.22530000,,,0,0.91000000,,,0,0.592000,,,0,0.200000,0.100000,-0.100000,0
67,BD+48 740 b,BD+48 740,1,1,Radial Velocity,733.00000000000,5.00000000000,-8.00000000000,0,1.7000000000,0.1000000000,-0.1000000000,0,13.50000000,,,0,1.20000000,,,0,540.31100000,222.48100000,-222.48100000,0,1.70000000,0.70000000,-0.70000000,0,1.210000,,,0,0.760000,0.050000,-0.090000,0
68,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2590.00000000000,300.00000000000,-180.00000000000,0,4.2000000000,0.3200000000,-0.2000000000,0,13.50000000,,,0,1.21000000,,,0,508.50000000,127.10000000,-63.60000000,0,1.60000000,0.40000000,-0.20000000,0,1.140000,,,0,0.350000,0.240000,-0.100000,0
